Keyword,TEDLIUM_SampleID,TED_TALK_ID,TEDLIUM_SET,MSWC_AudioID,start_time,end_time,confidence
because,0,train,911Mothers_2010W,because/common_voice_en_159014.opus,15.071937499999999,15.539499999999999,0.9203196660332058
orlando,7,train,911Mothers_2010W,orlando/common_voice_en_19823990.opus,55.597375,55.982062500000005,0.8901217313189256
hours,4,train,911Mothers_2010W,hours/common_voice_en_197289.opus,41.835,42.075937499999995,0.846010048839768
lives,9,train,911Mothers_2010W,lives/common_voice_en_508863.opus,67.37456250000001,67.77575,0.9768672406673431
afraid,6,train,911Mothers_2010W,afraid/common_voice_en_192461.opus,51.0953125,51.495875,0.9225643900688738
first,2,train,911Mothers_2010W,first/common_voice_en_494082.opus,27.420875,27.6819375,0.8374143177755357
six,11,train,911Mothers_2010W,six/common_voice_en_22188717.opus,79.1721875,79.394625,0.9334003112532876
time,5,train,911Mothers_2010W,time/common_voice_en_22105131.opus,45.8796875,46.303562500000005,0.9161512028603889
terrorism,12,train,911Mothers_2010W,terrorism/common_voice_en_22160171.opus,81.3001875,82.146,0.9600264310304608
one,3,train,911Mothers_2010W,one/common_voice_en_21936155.opus,35.6081875,35.8888125,0.711167522739897
saw,15,train,911Mothers_2010W,saw/common_voice_en_127510.opus,103.88125000000001,104.0616875,0.7831581896688375
the,8,train,911Mothers_2010W,the/common_voice_en_188855__2.opus,62.12125,65.1074375,0.9133645594120026
still,17,train,911Mothers_2010W,still/common_voice_en_18954235.opus,116.17393750000001,116.415125,0.9233866780996323
her,18,train,911Mothers_2010W,her/common_voice_en_18883287.opus,120.5479375,120.6685625,0.6769702663489928
were,14,train,911Mothers_2010W,were/common_voice_en_11280249.opus,99.1690625,99.2891875,0.9102897544701894
that,16,train,911Mothers_2010W,that/common_voice_en_88626.opus,113.364125,113.5245625,0.984530583024025
came,23,train,911Mothers_2010W,came/common_voice_en_675445.opus,145.8224375,146.0044375,0.9158953428268433
him,13,train,911Mothers_2010W,him/common_voice_en_8656.opus,86.8346875,87.0349375,0.8936570926654894
immediate,20,train,911Mothers_2010W,immediate/common_voice_en_22324654.opus,127.702875,128.10568750000002,0.9445469684898853
that,19,train,911Mothers_2010W,that/common_voice_en_187354.opus,124.60568749999999,124.7260625,0.9900586903095245
